"topic_id","prev","prev_path","is_deleted","author_id","author_group","author_perm","topic_mainlanguage","topic_created","topic_modified","topic_weight","meta_useparent","box_useparent","surfer_useparent","surfer_permids","linktype_id","topic_changefreq","topic_priority","topic_cachemode","topic_cachetime","topic_unpublished_languages","topic_protocol"
"1","0",";","0","c70d84d1c5c5751e28380574639fc302","-1","777","2","1142413361","1142416236","100001","1","0","1","","1","2","50","0","0","0","0"
"2","1",";0;","0","c70d84d1c5c5751e28380574639fc302","-1","777","2","1142413683","1171357150","100001","1","1","2","","1","2","50","0","0","0","0"
"3","1",";0;","0","c70d84d1c5c5751e28380574639fc302","-1","777","2","1142413956","1161172072","100002","1","1","2","","1","2","50","0","0","0","0"
"4","3",";0;1;","0","c70d84d1c5c5751e28380574639fc302","-1","777","2","1142414122","1142426171","100001","1","1","2","","1","2","50","0","0","0","0"
"6","3",";0;1;","0","c70d84d1c5c5751e28380574639fc302","-1","777","2","1142414481","1142426195","100002","1","1","2","","1","2","50","0","0","0","0"
"7","1",";0;","0","c70d84d1c5c5751e28380574639fc302","-1","777","2","1142414726","1161172114","100003","1","1","2","","1","2","50","0","0","0","0"
"8","1",";0;","0","c70d84d1c5c5751e28380574639fc302","-1","777","2","1142415043","1142420205","100004","1","1","2","","1","2","50","0","0","0","0"
